Quote,Author,Book,Tags
"“If you lose today every-day, you are lost every-day.”","Tiisetso Maloma,",The Anxious Entrepreneur: Anxiety Defeats Creativity - Creativity Defeats Anxiety,"anxiety-quotes, stoicism"
"“Tomorrow will take care of itself, so take care of today, otherwise tomorrow will take ill-care of you today – thus losing today.”","Tiisetso Maloma,",The Anxious Entrepreneur: Anxiety Defeats Creativity - Creativity Defeats Anxiety,"anxiety, stoicism"
“Tomorrow’s worries contaminate the present.”,"Tiisetso Maloma,",The Anxious Entrepreneur: Anxiety Defeats Creativity - Creativity Defeats Anxiety,"anxiety, stoicism"
"“Once you make a decision and then act on it, you have actually fulfilled the object of the game. This will probably surprise you, but what happens next in the hand after you act is not important. It does not matter what your opponents do next and it's immaterial whether or not you win the hand. The most important thing is that you understand why you're making the play and what goal you're trying to accomplish.”","Ken Warren,","The Big Book of Poker : A big,easy, and fun guide to winning","philosophy, poker, stoicism"
“I value my time so much that undressing is the only thing I am willing to do for sex.”,Mokokoma Mokhonoana,N/A,"buddhism, death, immortality, life, mortality, on-the-shortness-of-life, stoicism, time, waste, yolo"
“Having problems is not nearly as tormenting as being had by problems.”,Mokokoma Mokhonoana,N/A,"adversity, attitude, buddhism, challenges, hardships, motivation, perspective, perspective-is-everything, problems, stoicism"
“Melancholy isn't always a disorder that needs to be cured. It can be a species of intelligent grief which arises when we come face-to-face with the certainty that disappointment is written into the script from the start.”,"Alain de Botton,",The Course of Love,"marriage, stoicism"
"“Unlike existing, living requires effort.”",Mokokoma Mokhonoana,N/A,"adventurous, buddhism, effort, exist, existing, life, living, stoicism, yolo, you-only-live-once"
"“Disgraceful if, in this life where your body does not fail, your soul should fail you first.”","Marcus Aurelius,",Meditations,"philosophy, stoicism"
"“Whereas a belief in an absurd world arises out of the fundamental disharmony of a person searching for meaning in an apparently meaninglessness universe, an existential nihilist displays impassive intellectual stoicism towards their eventual mortality while embracing a passionate artistic commitment to munity against the underlying syndrome of insignificance and confusion encasing life.”","Kilroy J. Oldster,",Dead Toad Scrolls,"existential-angst, existentialist, nihilism, nihilist, stoic, stoicism"
“Telling some people not to waste time is a waste of time.”,Mokokoma Mokhonoana,N/A,"buddhism, discipline, mortality, productivity, stoicism, time, waste-of-time, waste-time, wasted-time, wasting-time"
“Where you arrive does not matter as much as what sort of person you are when you arrive there.”,"Seneca,",Letters from a Stoic,stoicism
"“Men are of little worth. Their brief lives last a single day. They cannot hold elusive pleasure fast; It melts away. All laurels wither; all illusions fade; Hopes have been phantoms, shade on air-built shade, since time began.”","Sophocles,","The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone","death, despair, life, stoicism, value, vanity"
"“The man, though, whom you should admire and imitate is the one who finds it a joy to live and in spite of that is not reluctant to die.”","Seneca,",Letters from a Stoic,stoicism
"“We have control over when, how, and where to plant a seed, not over what it will become.”",Mokokoma Mokhonoana,N/A,"arrogance, arrogant, buddhism, control, fatalism, humility, life, predestination, stoicism, surrender"
“There is a correlation between how foolish a man is and how tolerant he is of people who waste his time.”,Mokokoma Mokhonoana,N/A,"buddhism, foolish, life-is-short, life-is-too-short, on-the-shortness-of-life, stingy, stoicism, time, waste-time, wisdom"
"“We ought not, therefore, to give over our hearts for good to any one part of the world. We should live with the conviction: 'I wasn‟t born for one particular corner: the whole world‟s my home country.”","Seneca,",Letters from a Stoic,stoicism
"“We ought not, therefore, to give over our hearts for good to any one part of the world. We should live with the conviction: 'I wasn't born for one particular corner: the whole world's my home country.”","Seneca,",Letters from a Stoic,stoicism
"“I shall use the old road, but if I find a shorter and easier one I shall open it up. [...] Truth lies open to everyone.”","Seneca,",Letters from a Stoic,stoicism
"“There is no need to raise our hands to heaven; there is no need to implore the temple warden to allow us close to the ear of some graven image, as though this increased the chances of our being heard. God is near you, is with you, is inside you.”","Seneca,",Letters from a Stoic,stoicism
“Finding peace of mind usually demands that we lose some things and some people.”,Mokokoma Mokhonoana,N/A,"buddhism, consumerism, inner-peace, loss, materialism, minimalism, peace, peace-of-mind, stoicism, tranquility"
“[T]reat your inferiors in the way in which you would like to be treated by your own superiors.”,"Seneca,",Letters from a Stoic,stoicism
"“The place one's in, though, doesn't make any contribution to peace of mind: it's the spirit that makes everything agreeable to oneself.”","Seneca,",Letters from a Stoic,stoicism
“Pitying a living man for being poor is like envying a dead man for being rich.”,Mokokoma Mokhonoana,N/A,"buddhism, envy, gratitude, materialism, pity, poverty, rich, stoicism, wealth"
“There is a correlation between how hard life seems to us and how easy we expected it to be.”,Mokokoma Mokhonoana,N/A,"buddhism, challenges, depression, expectations, life, life-is-difficult, life-is-easy, life-is-hard, stoicism, suicide"
“You cannot attain everlasting peace of mind unless you stop seeing your mind as yourself and start seeing yourself as your mind’s guardian.”,Mokokoma Mokhonoana,N/A,"buddhism, guard, guardian, master, meditate, meditation, mind, slave, stoicism, yoga"
“Each man has a character of his own choosing; it is chance or fate that decides his choice of job.”,"Seneca,",Letters from a Stoic,stoicism
“The pursuit of happiness is one of the most common symptoms of intellectual immaturity.”,Mokokoma Mokhonoana,N/A,"buddhism, happiness, happy, immaturity, intellectual, maturity, spirituality, stoicism, unhappiness, unhappy"
"“It is a rare blessing to see things, and to accept people, as they are.”",Mokokoma Mokhonoana,N/A,"accept, acceptance, as-he-is, as-it-is, as-she-is, as-they-are, buddhism, change, stoicism, what-is"
“Those who died quietly asleep are not less dead than those who were killed awake by bombs.”,Mokokoma Mokhonoana,N/A,"buddhism, dead, death, death-be-not-proud, eulogy, gone-but-not-forgotten, immortality, mortality, rest-in-peace, stoicism"
“We lose a significant portion of our lives attending ceremonies for people who have lost theirs.”,Mokokoma Mokhonoana,N/A,"buddhism, death, eulogy, funeral, funerals, gone-but-not-forgotten, gone-too-soon, life, mortality, stoicism"
“Rejection of desire is liberating. Renunciation is a form of power.”,"Kilroy J. Oldster,",Dead Toad Scrolls,"desire, desire-quotes, rejection, renunciation, stoicism"
“What”,Richard Nixon,N/A,"gothic-erotica, humor, inspirational, psychedelia, stoicism"
"“The modern expectation is that there will be equality in all things in the couple—which means, at heart, an equality of suffering. But calibrating grief to ensure an equal dosage is no easy task: misery is experienced subjectively, and there is always a temptation for each party to form a sincere yet competitive conviction that, in truth, his or her life really is more cursed--in ways that the partner seems uninclined to acknowledge or atone for. It takes a superhuman wisdom to avoid the consoling conclusion that one has the harder life.”","Alain de Botton,",The Course of Love,"marriage, stoicism"
“We can always choose not what we see but how we look at what we see.”,Mokokoma Mokhonoana,N/A,"choice, depression, happiness, motivation, perception, perspective, stoic, stoicism, suicide, unhappiness"
"“Like happiness, unhappiness usually springs from a comparison.”",Mokokoma Mokhonoana,N/A,"buddhism, compare-yourself-with, comparison, happiness, happy, run-your-own-race, stoicism, stop-comparing-yourself-with, unhappiness, unhappy"
“Killing a person does not lead to nearly as much pain as creating a human being.”,Mokokoma Mokhonoana,N/A,"anti-natalism, antinatalism, homicide, murder, natalism, natalist, pessimism, pro-natalism, stoicism, suicide"
“We need not reply or even listen to people who are talking about—not to—us.”,Mokokoma Mokhonoana,N/A,"buddhism, celebrities, celebrity, gossip, hater, haters, ignore, self-control, stoicism, tabloids"
"“Every habit and faculty is confirmed and strengthened by the corresponding actions, that of walking by walking, that of running by running. If you wish to be a good reader, read; if you wish to be a good writer, write. If you should give up reading for thirty days one after the other, and be engaged in something else, you will know what happens. So also if you lie in bed for ten days, get up and try to take a rather long walk, and you will see how wobbly your legs are. In general, therefore, if you want to do something, make a habit of it; if you want not to do something, refrain from doing it, and accustom yourself to something else instead.”","Epictetus,",Epictetus. The Discourses as Reported By Arrian. Vol. I. Books 1 and 2. With an English Translation By W. A. Oldfather,"epictetus, habits, philosophy, stoicism"
“All that exists is the seed of what will emerge from it.”,"Marcus Aurelius,",Meditations by Marcus Aurelius,"logos, philosophy, stoicism"
“We ought to be thankful not only for what we have but also for what we do not have.”,Mokokoma Mokhonoana,N/A,"blessings, buddhism, grateful, gratitude, health, problems, stoicism, thankful, ungrateful, unthankful"
“Even the worst that has ever happened to you could have been worse.”,Mokokoma Mokhonoana,N/A,"buddhism, could-have-been-worse, grateful, gratitude, stoicism, thankful, thankless, unappreciative, ungrateful, unthankful"
"“The happiest people are not those who have the most, but those who are the most grateful for what they have.”",Mokokoma Mokhonoana,N/A,"consumerism, grateful, gratitude, happiness, happy, materialism, possessions, stoicism, unhappiness, unhappy"
“Meditation betters not only the mind but also the brain.”,Mokokoma Mokhonoana,N/A,"benefits, brain, buddhism, health, meditate, meditation, mind, stoicism, yoga, yogi"
“An action is at least a billion times less difficult to choose than a reaction.”,Mokokoma Mokhonoana,N/A,"act, action, buddhism, choice, choose, react, reaction, stoic, stoicism, stoics"
“The person you are mad at for being late could be dead.”,Mokokoma Mokhonoana,N/A,"accident, angry, buddhism, late, mad-at, meeting, meetings, punctual, punctuality, stoicism"
“You cannot be blessed with the ability to be happy without being cursed with the ability to be unhappy.”,Mokokoma Mokhonoana,N/A,"ability, blessed, blessing, blessings, buddhism, count-your-blessings, curse, disability, inability, stoicism"
“Some things are made way more appealing than they are by our lack of them.”,Mokokoma Mokhonoana,N/A,"buddhism, capitalism, communism, consumerism, dissatisfied, materialism, minimalism, minimalist, socialism, stoicism"
“One man’s bad day is another man’s good night.”,Mokokoma Mokhonoana,N/A,"bad-day, bad-night, buddhism, good-night, goodnight, one-man-s-is-another-man-s, relativity, stoicism, time-zone"
“Most people are like all stomachs: they cannot remain satisfied for a long time.”,Mokokoma Mokhonoana,N/A,"buddhism, contentment, food, happiness, satisfaction, satisfied, stoicism, stomach, stomachs, unsatisfied"
“Even most of those whose wealth was not inherited or won often lose sleep over losing their wealth.”,Mokokoma Mokhonoana,N/A,"buddhism, inheritance, lottery, lotto, materialism, non-attachment, poverty, stoicism, wealth, wealthy"
"“[W]hat cause can there be for complaint, after all, in anything that was always bound to come to an end fading gradually away? What is troubling about that? [...] Moving to one's end through nature's own gentle process of dissolution - is there a better way of leaving life than that? Not because there is anything wrong with a sudden, violent departure, but because this gradual withdrawal is an easy route.”","Seneca,",Letters from a Stoic,stoicism
“We have never tried to do most of the things we are dead sure we cannot do.”,Mokokoma Mokhonoana,N/A,"beliefs, buddhism, entrepreneurs, entrepreneurship, motivation, self-development, self-help, self-limiting, startups, stoicism"
“We are more in control of how much we know than we are of how much we have.”,Mokokoma Mokhonoana,N/A,"buddhism, consumerism, control, education, knowledge, library, materialism, money, reading, stoicism"
“There is a correlation between how seriously we take life and the number of problems we have.”,Mokokoma Mokhonoana,N/A,"attitude, buddhism, happiness, happy, perception, playful, problems, stoicism, take-life-seriously, unhappy"
“Feeling sorry for our bodies ought to be the closest we get to feeling sorry for ourselves.”,Mokokoma Mokhonoana,N/A,"buddhism, health, pity, relax, rest, self-pity, sleep, sorry-for-yourself, stoicism, sympathy"
“A blind man’s thoughts almost never have anything to do with the things he is facing.”,Mokokoma Mokhonoana,N/A,"blind, blindness, buddhism, imagination, meditation, seeing, sight, stoicism, thinking, thoughts"
"“As things are, there is about wisdom a nobility and magnificence in the fact that she didn't just fall to a person's lot, that each man owes her to his own efforts, that one doesn't go to anyone other than oneself to find her.”","Seneca,",Letters from a Stoic: Complete (Letters 1 - 124) Adapted for the Contemporary Reader,stoicism
“The size of your problem is in your mind.”,Mokokoma Mokhonoana,N/A,"all-in-the-mind, attitude, attitude-is-everything, buddhism, exaggeration, misperception, perception, problem, problems, stoicism"
“Some of the things we fear exist nowhere but where fear happens.”,Mokokoma Mokhonoana,N/A,"brain, buddhism, courage, cowardice, delusion, fear, illusion, mind, phobia, stoicism"
“The present isn’t more capable of causing mental pain than the past or the future.”,Mokokoma Mokhonoana,N/A,"buddhism, distress, meditation, mental-pain, mindfulness, stoicism, the-future, the-past, the-present, thinking"
“It is impossible to trip and fall while walking slowly.”,Mokokoma Mokhonoana,N/A,"buddhism, hurry, impatience, impatient, in-a-hurry, patience, patient, stoicism, trip-and-fall, tripped-and-fell"
“Even the busiest bee does not move from one flower to another as often as an untamed mind moves from one thought to another.”,Mokokoma Mokhonoana,N/A,"buddhism, busy-bee, meditate, meditation, mindful, mindfulness, peace-of-mind, stoicism, the-power-of-now, yoga"
“Life is yet to produce someone who is loved by or important to everyone.”,Mokokoma Mokhonoana,N/A,"buddhism, criticism, critics, hate, hater, haters, jesus, pleasing-others, popularity, stoicism"
“They who always expect the worst are almost always pleasantly surprised.”,Mokokoma Mokhonoana,N/A,"buddhism, expect, expectation, hope-for-the-best, optimism, pessimism, pleasant-surprise, prepare-for-the-worst, stoicism, surprise"
"“It would be foolish to be stoical all the time, you'd wear yourself out for nothing”",John-Paul Sartre,N/A,"existentialism, stoicism"
"“The first principle of practical Stoicism is this: we don’t react to events; we react to our judgments about them, and the judgments are up to us.”","Ward Farnsworth,",The Practicing Stoic,"stoic-philosophy, stoicism"
"“When you pursue wisdom, you will soon realize how much you don’t know. Your knowledge will be incomplete, but continually developing through your curiosity.  Arrogance blocks new information from coming in. When you’re conceited, you’ll resist change, and struggle to preserve your fixed image. Don’t fall into smug idleness, used to comfort. Challenge what you think you know, not caring if other people see you as a fool.  Progress daily in your own uncertainty.”","Bremer Acosta,",Stoic Practice,"arrogance, epictetus, knowledge, marcus-aurelius, seneca, stoic, stoicism, uncertainty, wisdom"
“Expectation is the only seed of disappointment.”,Mokokoma Mokhonoana,N/A,"buddhism, disappoint, disappointed, disappointment, expect, expectation, stoic, stoicism, unhappiness, unhappy"
"“After failure, it is possible to keep going– and to fail better.”",Slavoj Žižek,N/A,"failure, improvement, stoicism"
"“Just as I prepared to stand and bow, a woman appeared with a miniature coffee cup in her hand.  She offered it to me.  As I took it, I noticed two things:  Bugs crawling on the ground and the men approving of me by snapping their fingers. I bowed and took a sip of the coffee and almost fainted. I had a cockroach on my tongue. I looked at the peoples' faces and I could not spit it out. My grandmother would have pushed away the grave's dirt and traveled by willpower to show me her face of abject disappointment. I could not bear that. I opened my throat and drank the cup dry. I counted four cockroaches.”","Maya Angelou,",Letter to My Daughter,"cockroaches-in-the-coffee, manners, stoicism, travel"
"“In the first place, sensation (aisthesis) is a corporeal process which we have in common with animals, and in which the impression of an exterior object is transmitted to the soul. By means of this process, an image (phantasia) of the object is produced in the soul, or more precisely in the guiding part (hegemonikon) of the soul”","Pierre Hadot,",The Inner Citadel: The Meditations of Marcus Aurelius,"greek, judgment, philosophy, roman, stoic, stoicism, virtue"
"“You cannot continue to hate someone without repeatedly wasting, on them, some of your precious time and mental energy.”",Mokokoma Mokhonoana,N/A,"enemies, enemy, energy, hate, hatred, life, precious, stoicism, time, waste"
“It is way more pleasurable to master yourself than it is to masturbate.”,Mokokoma Mokhonoana,N/A,"asceticism, discipline, grit, mastery, self-control, self-discipline, self-mastery, self-restraint, stoicism, willpower"
“It takes courage to speak or react way slower than you think.”,Mokokoma Mokhonoana,N/A,"emotional, rational, rationality, reaction, response, speak, stoic, stoicism, stoics, think"
“Death is the release of an organism from the prison of life.”,Mokokoma Mokhonoana,N/A,"death, eulogy, funeral, immortal, immortality, mortal, mortality, rest-in-peace, stoic, stoicism"
“Sometimes we have no luxury of choice. We must do certain things for survival. That should not stop us from doing the things we love.”,Malebo Sephodi,N/A,"black-struggle, black-women-quotes, purpose, self-care, self-love, stoic, stoicism"
“[M]aking noble resolutions is not as important as keeping the resolutions you have made already. (Letter XVI)”,"Seneca,",Letters from a Stoic,stoicism
“Suffering adds spice to life.”,Mokokoma Mokhonoana,N/A,"adversity, challenges, hardships, life, spice, stoic, stoicism, stoics, suffer, suffering"
“The fact that our minds are problem-solving machines says a lot about the nature of life.”,Mokokoma Mokhonoana,N/A,"adversity, challenges, consolation, give-up, giving-up, motivation, peace-of-mind, problem, problems, stoicism"
“Being in a hurry does not slow down time.”,Mokokoma Mokhonoana,N/A,"buddhism, hurry, impatience, impatient, in-a-hurry, patient, slow-down, stoicism, time"
“Suffering and happiness are not mutually exclusive.”,Mokokoma Mokhonoana,N/A,"grateful, gratitude, happiness, happy, stoicism, thankful, ungrateful, unhappiness, unhappy, unthankful"
“Life is a game we are all bound to lose.”,Mokokoma Mokhonoana,N/A,"buddhism, death, funeral, gone-too-soon, life, lose, loss, rest-in-peace, rip, stoicism"
“Most people have given back to life the power to make themselves happy.”,Mokokoma Mokhonoana,N/A,"depression, happiness, happy, negativity, positivity, sad, sadness, stoicism, unhappiness, unhappy"
“Enlightenment does not mean making the most of bad situations. It means knowing that every situation is neither good nor bad.”,Mokokoma Mokhonoana,N/A,"bad, enlightened, enlightenment, good, judgment, perception, perspective, stoicism, wisdom, wise"
“Life takes from us only lives we were given by it.”,Mokokoma Mokhonoana,N/A,"buddhism, consolation, death, eulogy, funeral, gratitude, rest-in-peace, stoicism, ungrateful, unthankful"
“It is our natural and moral duty as consumers of other living things to someday die.”,Mokokoma Mokhonoana,N/A,"buddhism, consolation, console, death, eulogy, funeral, mortality, rest-in-peace, rip, stoicism"
"“At any given moment, it is a beautiful day in many parts of the world.”",Mokokoma Mokhonoana,N/A,"attitude, bad-weather, beautiful-day, gratitude, optimism, optimistic, perspective, pessimism, pessimistic, stoicism"
“Our inability to imagine the length of the rest of existence magnifies our problems.”,Mokokoma Mokhonoana,N/A,"adversity, depression, difficult-times, gratitude, hardships, motivation, problems, rough-patch, stoicism, suicide"
“Judgments are the only possible cause of unhappiness and happiness.”,Mokokoma Mokhonoana,N/A,"happiness, happy, judgement, judgements, perception, sad, sadness, stoicism, unhappiness"
"“Within, the only place where it is created, is the very last place most pursuers of happiness are likely to go.”",Mokokoma Mokhonoana,N/A,"enlightenment, happiness, happy, meditation, stoicism, the-pursuit-of-happiness, unhappiness, unhappy, wisdom, within"
“The worst that can happen to anyone will happen to everyone.”,Mokokoma Mokhonoana,N/A,"death, eulogy, funeral, immortal, immortality, mortal, mortality, rest-in-peace, stoic, stoicism"
“Not having expected an event makes it seem way better or worse than it really is.”,Mokokoma Mokhonoana,N/A,"comfort, comforting, consolation, console, exaggeration, expectations, give-up, hold-on, motivation, stoicism"
"“It is the human race, not the world, that desperately needs to be changed.”",Mokokoma Mokhonoana,N/A,"anthropocentrism, change-the-world, human-beings, humanity, mankind, reform, reformation, revolution, stoicism, the-human-race"
"“Når det kommer til stykket, er jeg ikke sikker på om De har moralsk rett til å blande dem i saken. Dessuten tror jeg fremdeles ikke det er noen fare på ferde. Etter min mening er det absurd å gå fra konseptene fordi om noen mennesker har fått lyst til å skifte ham. Det får bli deres egen sak. Det står enhver fritt for.”","Eugène Ionesco,",Rhinocéros,"ethics, liberals, relativism, rhinoceros, stoicism, tolerance"
“If I did compress what I know and think about the spanish civil war into 6 lines you wouldn't print it. You wouldn't have the guts.”,"George Orwell,",Essays,"essays, spanish-civil-war, stoicism"
"“Soon, you will have forgotten everything.  Soon, everybody will have forgotten you.”","Marcus Aurelius,",Meditations,"marcus-aurelius, stoicism"
"“You will never see me surrender, never see me cry, but you will often see me walk away. Turn around and just leave, without looking back.”","Charlotte Eriksson,",Empty Roads & Broken Bottles: in search for The Great Perhaps,"cry, crying, leave, leaving, looking-back, stoic, stoicism, surrender, walk-away"
"“The willing are led by fate, the reluctant are dragged.”","Cleanthes of Assos,",Hymn to Zeus,"cleanthes, epictetus, marcus-aurelius, philosophy, seneca, stoic, stoicism"
"“Sometimes, even to live is an act of courage.”",Seneca,N/A,"advice, living, seneca, stoicism, wisdom"
“Being a stoic does not mean being a robot. Being a stoic means remaining calm both at the height of pleasure and the depths of misery.”,"Abhijit Naskar,",7 Billion Gods: Humans Above All,"brainy-quotes, emotions, inspirational, misery, motivational, philosopher, stoic, stoicism"
"“At dawn, when you have trouble getting out of bed, tell yourself, ""I have to go to work - as a human being. What do I have to complain of, if I'm going to do what I was born for - the things I was brought into the world to do? Or is this what I was created for? To huddle under the blankets and stay warm?”","Marcus Aurelius,",Meditations,"philosophy, stoicism"
“Everything worthwhile in your life draws its meaning from the fact you will die.”,"Derren Brown,",Happy: Why more or less everything is absolutely fine,"death, stoicism"
“Death devours not only those who have been cooked by old age; it also feasts on those who are half-cooked and even those who are raw.”,"Mokokoma Mokhonoana,",The Use and Misuse of Children,"adage, adages, africa, african, aphorism, aphorisms, axiom, axioms, birth, bolt, bolt-down, born, child, childfree, childhood, childless, children, consolation, console, consume, consuming, cook, cooked, cooking, dead, death, deep, devour, devouring, dictum, dictums, dying, eat, eat-up, eating, elder, elderly, epigram, epigrams, feast, feast-on, feasting, feasts, funny, gnome, gnomes, gobble, gobble-down, gobble-up, gulp, gulp-down, guzzle, half-cooked, humor, humorous, humour, hunger, hungry, immortal, immortality, insightful, kid, kids, made-me-think, make-you-think, maxim, maxims, mortal, mortality, newborn, newborns, obituary, old, old-age, philosopher, profound, proverb, proverbs, provoke-thought, quotation, quotations, quote, quote-of-the-day, quotes, raw, retire, retirement, satire, satirical, satirist, satirists, saying, sayings, selfish-selfishness, shovel-down, south-africa, south-african, stoic, stoicism, stoics, thought-provoking, thoughtful, wolf, wolf-down, young"
"“In the evening I came home and read about the Messina earthquake, and how the relief ships arrived, and the wretched survivors crowded down to the water's edge and tore each other like wild beasts in their rage of hunger. The paper set forth, in horrified language, that some of them had been seventy-two hours without food. I, as I read, had also been seventy-two hours without food; and the difference was simply that they thought they were starving.”","Upton Sinclair,",Fasting Cure,"crowds, fasting, fear, human-stupidity, human-toughness, hunger, madness, starvation, stoicism"
"“That which Fortune has not given, she cannot take away.”",Seneca the Younger,N/A,stoicism
"“You have the power to strip away many superfluous troubles located wholly in your judgement, and to possess a large room for yourself embracing in thought the whole cosmos, to consider everlasting time, to think of the rapid change in the parts of each thing, of how short it is from birth until dissolution, and how the void before birth and that after dissolution are equally infinite.”",Marcus Aurelius,N/A,"philosophy, stoic, stoicism"
“We might never rid ourselves of a lingering anxiety regarding our death; this is a kind of tax we pay in return for self-awareness.”,"Derren Brown,",Happy: Why more or less everything is absolutely fine,stoicism
“Life is neither a glorious highlight reel nor a monstrous tragedy. Every day is a good day to live and a good day to die. Every day is also an apt time to learn and express joy and love for the entire natural world. Each day is an apt time to make contact with other people and express empathy for the entire world. Each day is perfect to accept with indifference all aspects of being.”,"Kilroy J. Oldster,",Dead Toad Scrolls,"empathy, enlightenment, enlightenment-principles, enlightenment-quotes, life-and-death, life-and-living-insight, living-and-dying, living-in-the-moment, living-in-the-now, living-in-the-present, living-in-the-present-moment, love-life, peace-of-mind, peace-of-mind-quotes, peaceful-life, peaceful-living, perspective, perspective-on-life, perspective-quotes, philosophy-of-life, stoic, stoic-philosophy, stoicism"
"“[I]ndulge the body just so far as suffices for good health. It needs to be treated somewhat strictly to prevent it from being disobedient to the spirit. Your food should appease your hunger, your drink quench your thirst, your clothing keep out the cold, your house be a protection against inclement weather.”","Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“Yes, as my swift days near their goal, 'Tis all that I implore - In life and death, a chainless soul, With courage to endure.”","Emily Brontë,",Poems of Solitude,"death, endurance, life, living, poetry, stoicism"
"“What would Heracles have been if he had said, ""How am I to prevent a big lion from appearing, or a big boar, or brutal men?"" What care you, I say? If a big boar appears, you will have a greater struggle to engage in; if evil men appear, you will free the world from evil men.”",Epictetus,N/A,"epictetus, heracles, heraules, stoicism"
"“When you are disturbed by events and lose your serenity, quickly return to yourself and don't stay upset longer than the experience lasts; for you'll have more mastery over your inner harmony by continually returning to it.”","Marcus Aurelius,",Meditations,"control, emotions, stoicism"
"“You should, I need hardly say, live in such a way that there is nothing which you could not as easily tell your enemy as keep to yourself.”","Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“When others inspire us, they tend to do so through the clear expression of these sketchy, adumbrated thoughts we ourselves have known but never had the perspicacity for formulate with certainty.”","Derren Brown,",Happy: Why more or less everything is absolutely fine,stoicism
“Life is how you look at it.”,Mokokoma Mokhonoana,N/A,"attitude, attitude-is-everything, attitude-towards-life, life, optimism, optimistic, perception, pessimism, pessimistic, stoicism"
"“Each of us is impermanent wave of energy folded into the infinite cosmic order. Acknowledgement of the fundamental impermanence of ourselves unchains us from the strictures of living a terrestrial life stuck like a needle vacillating between the magnetic pull of endless desire and the terror of death. Once we achieve freedom from any craving and all desires and we are relieved of all titanic fears, we release ourselves from living in perpetual distress. Once we rid ourselves from any impulse to exist, we discover our true place in the universal order. The composition of our life filament is exactly right when we accept the notion of living and dying with equal stoicism.”","Kilroy J. Oldster,",Dead Toad Scrolls,"death, death-and-dying, enlightenment, enlightenment-principles, enlightenment-quotes, live-in-peace, live-in-the-here-and-now, live-in-the-moment, live-in-the-now, live-in-the-present, living, living-to-the-fullest, philosophy-of-life, stoicism"
"“If you have assumed any character beyond your strength, you have both demeaned yourself ill in that and quitted one which you might have supported.”","Epictetus,",Enchiridion,"character, stoicism"
"“The supreme ideal does not call for any external aids. It is homegrown, wholly self-developed. Once it starts looking outside itself for any part of itself it is on the way to being dominated by fortune.”","Seneca,",Letters from a Stoic,stoicism
"“The man who looks for the morrow without worrying over it knows a peaceful independence and a happiness beyond all others. Whoever has said, ""I have lived' receives a windfall every day he gets up in the morning.”","Seneca,",Letters from a Stoic,stoicism
"“Show me a man who though sick is happy, who though in danger is happy, who though in prison is happy, and I'll show you a Stoic.”",Epictetus,N/A,stoicism
"“Now this was possible only by a man determining himself entirely *rationally* according to concepts, not according to changing impressions and moods. But as only the maxims of our conduct, not the consequences or circumstances, are in our power, to be capable of always remaining consistent we must take as our object only the maxims, not the consequences and circumstances, and thus the doctrine of virtue is again introduced.” —from_The World as Will and Representation_. Translated from the German by E. F. J. Paye in two volumes: volume I, p. 89”",Arthur Schopenhauer,N/A,"ethics, schopenhauer, stoicism, virtue"
"“In conformity with this spirit and aim of the Stoa, Epictetus begins with it and constantly returns to it as the kernel of his philosophy, that we should bear in mind and distinguish what depends on us and what does not, and thus should not count on the latter at all. In this way we shall certainly remain free from all pain, suffering, and anxiety. Now what depends on us is the will alone, and here there gradually takes place a transition to a doctrine of virtue, since it is noticed that, as the external world that is independent of us determines good and bad fortune, so inner satisfaction or dissatisfaction with ourselves proceeds from the will. But later it was asked whether we should attribute the names *bonum et malum* to the two former or to the two latter. This was really arbitrary and a matter of choice, and made no difference. But yet the Stoics argued incessantly about this with the Peripatetics and Epicureans, and amused themselves with the inadmissible comparison of two wholly incommensurable quantities and with the contrary and paradoxical judgements arising therefrom, which they cast on one another. An interesting collection of these is afforded us from the Stoic side by the *Paradoxa* of Cicero."" —from_The World as Will and Representation_. Translated from the German by E. F. J. Paye in two volumes: volume I, pp. 88-89”",Arthur Schopenhauer,N/A,"ethics, schopehnauer, stoicism, virtue"
"“Perhaps struggle is all we have because the god of history is an atheist, and nothing about his world is meant to be. So you must wake up every morning knowing that no promise is unbreakable, least of all the promises of waking up at all. This is not despair. These are the preferences of universe itself: verbs over nouns, actions over states, struggle over hope.”",Ta Nahesi Coates,N/A,"atheism, history, life, philosophy, racism, stoicism, struggle"
"“They did this to me but I have remained who I am. I am tempered. I am able. Inside myself there's an untouched man. If they came back now, and did everything to me again, they would never reach the untouched man. I've passed the exam I've been shirking all my life. I'm a graduate of pain.”",John le Carré,N/A,"pain, resilience, stoicism, test, untouched"
"“The Sage desires only one thing, virtue, and he is cautious about only one thing, vice. He is the same in every circumstance because what is most important lies within him, and not with external events, which are constantly changing.”","Donald J. Robertson,",Stoicism and the Art of Happiness,"psychology, stoic-philosophy, stoicism"
"“What progress, you ask, have I made? I have begun to be a friend to myself.”","Seneca,",Epistulae Morales Ad Lucilium: Latin Text,"herato, philosophy, self-knowledge, seneca, stoicism"
